"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"809",3,3,19,1,25,1
"810",2,3,11,1,64,1
"811",3,3,9,1,27,1
"812",2,3,9,1,52,1
"813",1,2,3,1,21,1
"814",1,3,9,1,41,1
"815",1,3,9,1,44,1
"816",3,3,9,1,74,1
"817",1,3,8,3,58,1
"818",3,3,9,1,36,1
"819",3,3,9,1,22,1
"820",2,3,9,1,82,1
"821",1,3,9,1,25,1
"822",1,3,9,1,38,1
"823",2,3,9,1,15,1
"824",1,3,9,1,19,1
"825",1,3,1,1,54,1
"826",1,3,9,1,50,1
"827",1,3,9,1,22,1
"828",1,3,1,1,24,1
"829",1,3,9,1,48,1
"830",2,3,9,1,49,1
"831",2,3,9,1,17,1
"832",1,3,3,2,26,1
"833",3,3,9,5,24,1
"834",1,3,9,1,47,1
"835",2,3,9,1,16,1
"836",1,3,9,1,30,1
"837",3,3,9,1,33,1
"838",3,3,9,1,69,1
"839",1,3,1,1,41,1
"840",1,3,5,1,61,1
"841",1,3,9,1,81,1
"842",3,2,21,1,52,1
"843",1,3,9,1,87,1
"844",2,2,9,1,87,1
"845",3,3,90,1,39,1
"846",1,3,19,1,48,1
"847",1,3,19,1,40,1
"848",3,2,9,1,82,1
"849",1,3,19,1,66,1
"850",1,3,9,1,45,1
"851",1,3,1,1,36,1
"852",2,2,9,1,29,1
"853",1,2,9,1,39,1
"854",1,2,9,1,29,1
"855",3,3,9,1,72,1
"856",1,3,9,1,43,1
"857",1,3,8,1,38,1
"858",2,3,9,1,33,1
"859",1,1,9,1,80,1
"860",3,3,9,1,82,1
"861",1,3,9,1,38,1
"862",1,3,1,1,29,1
"863",2,2,9,7,36,1
"864",3,3,9,1,21,1
"865",1,3,9,1,35,1
"866",2,3,9,1,49,1
"867",2,3,9,1,7,1
"868",2,3,9,1,18,1
"869",1,3,9,1,43,1
"870",1,3,9,1,51,1
"871",2,3,9,1,45,1
"872",3,2,9,1,72,1
"873",1,1,9,1,29,1
"874",1,3,9,1,53,1
"875",2,3,9,1,59,1
"876",1,3,5,1,50,1
"877",3,3,9,1,15,1
"878",1,3,8,1,32,1
"879",1,3,5,1,33,1
"880",1,3,9,1,34,1
"881",1,3,3,1,17,1
"882",1,3,3,1,17,1
"883",3,3,8,1,82,1
"884",1,3,9,5,22,1
"885",3,2,8,2,26,1
"886",1,3,9,2,43,1
"887",2,3,9,2,15,1
"888",2,2,8,1,26,1
"889",1,2,8,1,66,1
"890",1,3,9,2,27,1
"891",1,3,1,1,18,1
"892",1,3,1,1,19,1
"893",2,3,8,2,2,1
"894",1,2,21,1,64,1
"895",1,3,9,1,29,1
"896",1,2,9,1,64,1
"897",1,3,9,5,44,1
"898",2,3,9,6,44,1
"899",2,3,9,6,22,1
"900",2,3,9,6,8,1
"901",2,3,9,6,20,1
"902",1,3,9,1,18,1
"903",1,3,9,5,30,1
"904",1,3,9,5,32,1
"905",2,3,9,1,83,1
"906",1,3,8,1,42,1
"907",2,3,8,1,20,1
"908",1,2,9,1,82,1
"909",3,2,9,1,13,1
"910",3,3,9,2,66,1
